country,happiness_rank,happiness_score,gdp_per_capita,health_(life_expectancy),freedom,trust_(government_corruption),year,code
Kyrgyzstan,85,5.185,0.5604399999999999,0.5544899999999999,0.40212,0.047619999999999996,2016,KGZ
Serbia,86,5.1770000000000005,1.03437,0.6458,0.15718,0.04339,2016,SRB
Bosnia and Herzegovina,87,5.162999999999999,0.9338299999999999,0.7076600000000001,0.09511,0.0,2016,BIH
Montenegro,88,5.1610000000000005,1.07838,0.6353300000000001,0.15111,0.12721,2016,MNE
Dominican Republic,89,5.155,1.02787,0.5766899999999999,0.52259,0.12372000000000001,2016,
Morocco,90,5.151,0.8405799999999999,0.5947100000000001,0.25645999999999997,0.08404,2016,MAR
Hungary,91,5.145,1.24142,0.67608,0.1977,0.044719999999999996,2016,HUN
Pakistan,92,5.132000000000001,0.68816,0.40306,0.14622000000000002,0.1388,2016,PAK
Lebanon,93,5.129,1.12268,0.76171,0.26228,0.030610000000000002,2016,LBN
Portugal,94,5.122999999999999,1.27607,0.7936300000000001,0.44727,0.01521,2016,PRT
Macedonia,95,5.121,1.0193,0.6473800000000001,0.27668000000000004,0.07047,2016,
Vietnam,96,5.061,0.74037,0.66157,0.5595399999999999,0.11556,2016,
Somaliland Region,97,5.0569999999999995,0.25558000000000003,0.33108000000000004,0.3913,0.36794,2016,
Tunisia,98,5.045,0.97724,0.59577,0.23553000000000002,0.0817,2016,TUN
Greece,99,5.033,1.24886,0.80029,0.05822000000000001,0.04127,2016,GRC
Tajikistan,100,4.996,0.48835,0.5311899999999999,0.43408,0.13509000000000002,2016,TJK
Mongolia,101,4.907,0.9885299999999999,0.55469,0.35972,0.03285,2016,MNG
Laos,102,4.876,0.68042,0.38291,0.52168,0.22423,2016,
Nigeria,103,4.875,0.75216,0.05108,0.27854,0.0305,2016,NGA
Honduras,104,4.871,0.69429,0.5838300000000001,0.26755,0.06906,2016,HND
Iran,105,4.813,1.11758,0.64232,0.22544,0.0557,2016,
Zambia,106,4.795,0.61202,0.23573000000000002,0.42662,0.11479,2016,ZMB
Nepal,107,4.793,0.44626000000000005,0.50073,0.37012,0.07007999999999999,2016,NPL
Palestinian Territories,108,4.754,0.67024,0.56844,0.17744000000000001,0.10613,2016,
Albania,109,4.655,0.9553,0.73007,0.31866,0.05301,2016,ALB
Bangladesh,110,4.643,0.54177,0.52989,0.39778,0.12583,2016,BGD
Sierra Leone,111,4.635,0.36485,0.0,0.30685,0.08196,2016,SLE
Iraq,112,4.575,1.07474,0.51076,0.24856,0.13635999999999998,2016,IRQ
Namibia,113,4.574,0.9328700000000001,0.34745,0.48613999999999996,0.10397999999999999,2016,NAM
Cameroon,114,4.513,0.5249699999999999,0.12697999999999998,0.42736,0.06126,2016,CMR
Ethiopia,115,4.508,0.29283000000000003,0.34578000000000003,0.36703,0.1717,2016,ETH
South Africa,116,4.459,1.02416,0.18611,0.42483000000000004,0.08415,2016,ZAF
Sri Lanka,117,4.415,0.9731799999999999,0.62007,0.50817,0.07964,2016,LKA
India,118,4.404,0.74036,0.45091000000000003,0.40285,0.08722,2016,IND
Myanmar,119,4.395,0.34112,0.3988,0.42691999999999997,0.20243,2016,MMR
Egypt,120,4.362,0.95395,0.5211600000000001,0.18847,0.10393,2016,EGY
Armenia,121,4.36,0.8608600000000001,0.64083,0.14037,0.036160000000000005,2016,ARM
Kenya,122,4.356,0.52267,0.30146999999999996,0.40576,0.06686,2016,KEN
Ukraine,123,4.324,0.87287,0.58628,0.12859,0.01829,2016,UKR
Ghana,124,4.276,0.63107,0.29681,0.40973000000000004,0.0326,2016,GHA
Congo (Kinshasa),125,4.272,0.05661,0.188,0.15602,0.06075,2016,
Georgia,126,4.252,0.8379200000000001,0.64035,0.32461,0.3188,2016,GEO
Congo (Brazzaville),127,4.236000000000001,0.7710899999999999,0.28212,0.37938,0.09752999999999999,2016,
Senegal,128,4.218999999999999,0.44314,0.40457,0.31056,0.11681,2016,SEN
Bulgaria,129,4.217,1.11306,0.67806,0.21219000000000002,0.00615,2016,BGR
Mauritania,130,4.2010000000000005,0.6139100000000001,0.28639000000000003,0.1268,0.17955,2016,MRT
Zimbabwe,131,4.1930000000000005,0.35041,0.1595,0.25429,0.08582000000000001,2016,ZWE
Malawi,132,4.156000000000001,0.08709,0.29364,0.4143,0.07564,2016,MWI
Sudan,133,4.138999999999999,0.63069,0.29759,0.0,0.10039,2016,
Gabon,134,4.121,1.15851,0.3494,0.28098,0.09314,2016,GAB
Mali,135,4.073,0.31292,0.16347,0.27544,0.13647,2016,MLI
Haiti,136,4.0280000000000005,0.34097,0.27494,0.12072000000000001,0.14476,2016,HTI
Botswana,137,3.9739999999999998,1.09426,0.34752,0.44088999999999995,0.10769000000000001,2016,BWA
Comoros,138,3.9560000000000004,0.27509,0.29980999999999997,0.15412,0.18437,2016,
Ivory Coast,139,3.9160000000000004,0.55507,0.04476,0.40663,0.1553,2016,
Cambodia,140,3.907,0.55604,0.42494,0.5885199999999999,0.08092,2016,KHM
Angola,141,3.866,0.84731,0.04991,0.00589,0.08434,2016,AGO
Niger,142,3.8560000000000003,0.1327,0.26161999999999996,0.38040999999999997,0.17176,2016,
South Sudan,143,3.832,0.39394,0.15780999999999998,0.19662000000000002,0.13015,2016,SSD
Chad,144,3.763,0.42213999999999996,0.038239999999999996,0.12807000000000002,0.04952,2016,TCD
